ua_word,en_word,part_of_speech,level
бути,be,verb,A1
Україна,ukraine,noun,A1
рік,year,noun,A1
що,who,pronoun,A1
ми,we,pronoun,A1
як,as,adverb,A1
те,that,pronoun,A1
час,time,noun,A1
український,ukrainian,adjective,A1
країна,country,noun,A1
наш,ours,pronoun,A1
держава,country,noun,A1
один,one,numeral,A1
його,him,pronoun,A1
новий,new,adjective,A1
ще,yet,adverb,A1
державний,national,adjective,A1
могти,can,verb,A1
стати,stand,verb,A1
вже,already,adverb,A1
право,right,noun,A1
політичний,political,adjective,A1
закон,law,noun,A1
ви,you,pronoun,A1
питання,matter,noun,A1
також,also,adverb,A1
себе,oneself,pronoun,A1
себе,myself,pronoun,A1
перший,prime,adjective,A1
система,system,noun,A1
президент,president,noun,A1
хто,who,pronoun,A1
так,as,adverb,A1
проблема,problem,noun,A1
розвиток,development,noun,A1
справа,case,noun,A1
дуже,very,adverb,A1
великий,big,adjective,A1
життя,life,noun,A1
національний,national,adjective,A1
діяльність,activity,noun,A1
рішення,decision,noun,A1
тому,so,adverb,A1
процес,trial,noun,A1
орган,organ,noun,A1
суспільство,society,noun,A1
сьогодні,today,adverb,A1
де,where,adverb,A1
партія,party,noun,A1
працювати,work,verb,A1
світ,world,noun,A1
останній,last,adjective,A1
рівень,degree,noun,A1
раз,time,noun,A1
європейський,relating,adjective,A1
умова,treaty,noun,A1
більше,more,adverb,A1
тільки,only,adverb,A1
організація,organization,noun,A1
місце,point,noun,A1
особа,person,noun,A1
російський,russian,adjective,A1
можливість,opportunity,noun,A1
сказати,say,verb,A1
місцевий,local,adjective,A1
Росія,russia,noun,A1
міжнародний,international,adjective,A1
громадянин,citizen,noun,A1
слово,word,noun,A1
соціальний,social,adjective,A1
головний,main,adjective,A1
два,two,numeral,A1
ситуація,situation,noun,A1
тоді,then,adverb,A1
казати,say,verb,A1
вважати,believe,verb,A1
результат,product,noun,A1
Янукович,yanukovych,noun,A1
тут,here,adverb,A1
зміна,change,noun,A1
економічний,economic,adjective,A1
власний,proper,adjective,A1
програма,broadcast,noun,A1
сила,force,noun,A1
частина,piece,noun,A1
різний,different,adjective,A1
думка,point,noun,A1
зробити,do,verb,A1
який,what,pronoun,A1
мова,language,noun,A1
вибори,election,noun,A1
мій,mine,pronoun,A1
основний,essential,adjective,A1
історія,history,noun,A1
сфера,sphere,noun,A1
дія,action,noun,A1
рада,board,noun,A1
річ,thing,noun,A1
робити,work,verb,A1
певний,concrete,adjective,A1
всі,everyone,pronoun,A1
уряд,government,noun,A1
інтерес,interest,noun,A1
Київ,kyiv,noun,A1
Європа,europe,noun,A1
регіон,region,noun,A1
міністр,minister,noun,A1
другий,second,adjective,A1
оден,one,numeral,A1
депутат,deputy,noun,A1
правовий,legal,adjective,A1
ринок,market,noun,A1
реформа,reform,noun,A1
там,there,adverb,A1
інформація,information,noun,A1
участь,participation,noun,A1
сучасний,contemporary,adjective,A1
конституція,constitution,noun,A1
верховний,supreme,adjective,A1
уже,already,adverb,A1
земля,country,noun,A1
просто,straight,adverb,A1
будь-який,anyone,pronoun,A1
документ,paper,noun,A1
науковий,scientific,adjective,A1
захід,west,noun,A1
створення,creation,noun,A1
жодний,not,pronoun,A1
підприємство,company,noun,A1
кількість,quantity,noun,A1
почати,begin,verb,A1
